,Tract,County,Urban,Total_Population,Housing_Units,High_Share_Group,Total_Group_Quarters,Percent_Group_Quarters,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,Low_Income_Flag,Total_Poverty_Rate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,Total_Low_Income,Total_Kids,Total_Seniors,Total_White,Total_Black,Total_Asian,Total_NHOPI,Total_AIAN,Total_OMulti,Total_Hispanic,Total_No_Vehicle,Total_SNAP,Population_Size
25,36001002600,Albany,1,5165,1996,0,110,2.13,0,1,0,1,1,1,24.3,42889,0,1,0,1,0,0,0,1,291,4982,291,181,2457,181,4982,96.45,2457,47.57,1489,28.82,419,8.11,1371,26.54,2885,55.86,196,3.8,3,0.06,13,0.24,514,9.95,636,12.32,739,37.02,631,31.63,291,5.64,181,3.51,109,2.11,21,0.41,33,0.63,241,4.66,0,0,1,0.02,0,0,17,0.34,34,0.66,25,1.24,40,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,1541,432,1431,2973,205,3,16,537,670,732,630,Large Population
26,36001012700,Albany,1,2342,1120,0,9,0.38,0,0,0,0,0,0,12.4,75644,0,1,0,1,0,0,0,0,,1674,,,558,,1674,71.49,558,23.83,316,13.47,206,8.81,1528,65.24,66,2.8,8,0.33,0,0,4,0.17,69,2.96,69,2.96,71,6.33,48,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,415,306,2171,72,17,0,4,78,90,108,84,Medium Population
27,36001012800,Albany,1,3836,1755,0,15,0.39,0,0,0,0,0,1,20.4,47778,0,0,0,0,0,0,0,0,,463,,,252,,463,12.07,252,6.56,146,3.81,34,0.89,368,9.6,47,1.23,3,0.07,0,0,0,0,45,1.17,24,0.63,30,1.69,50,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,950,419,3279,302,16,0,8,231,182,356,422,Large Population
28,36001012900,Albany,1,3445,1740,0,32,0.93,0,1,0,0,0,1,21.9,43472,0,1,0,1,0,0,0,0,422,1107,422,165,433,165,1107,32.12,433,12.56,286,8.29,90,2.63,944,27.39,56,1.64,25,0.71,0,0,7,0.19,76,2.19,59,1.71,29,1.68,157,9.05,422,12.25,165,4.78,140,4.08,20,0.59,330,9.59,33,0.95,15,0.44,0,0,3,0.1,41,1.18,37,1.07,10,0.56,53,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,750,490,2990,230,44,0,17,164,170,473,541,Large Population
29,36001013000,Albany,1,6545,2852,0,181,2.77,0,0,0,0,1,0,5.4,73793,1,1,1,1,1,0,0,1,1729,4393,1729,295,801,295,4393,67.12,801,12.23,689,10.52,976,14.91,4155,63.49,89,1.36,42,0.65,0,0,6,0.09,101,1.54,103,1.57,122,4.3,107,3.75,1729,26.42,295,4.5,254,3.88,366,5.59,1644,25.12,27,0.41,14,0.22,0,0,2,0.04,41,0.63,45,0.68,32,1.12,42,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1111,1241,6142,150,65,0,10,178,164,186,159,Large Population
30,36001013100,Albany,1,2620,1286,0,0,0,0,1,0,1,1,1,6.8,60234,0,1,0,1,0,0,0,1,,1497,,,341,,1497,57.12,341,13.03,269,10.26,211,8.04,1322,50.44,83,3.16,26,0.99,0,0.01,12,0.45,54,2.08,47,1.8,101,7.84,128,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,485,387,2336,132,46,1,13,92,87,175,219,Medium Population
31,36001013200,Albany,1,3397,1642,0,0,0,0,0,0,0,0,1,27.4,46493,0,0,0,0,0,0,0,0,,178,,,110,,178,5.25,110,3.24,46,1.35,19,0.56,143,4.22,21,0.62,3,0.1,0,0,2,0.06,9,0.26,11,0.32,17,1.02,28,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704,766,540,2798,285,109,0,22,183,250,499,505,Large Population
32,36001013300,Albany,1,4427,2074,0,12,0.27,0,1,0,0,0,1,16.5,53438,0,1,0,1,0,0,0,0,,1141,,,375,,1141,25.78,375,8.47,145,3.27,103,2.32,905,20.45,105,2.38,64,1.44,0,0,1,0.02,66,1.49,69,1.56,52,2.51,66,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,860,533,3648,435,121,2,11,210,263,219,234,Large Population
33,36001013400,Albany,1,2430,1111,0,0,0,1,1,1,1,1,1,6.9,61458,1,1,1,1,1,0,0,1,1765,2430,1765,483,729,483,2430,99.98,729,30.02,503,20.69,315,12.96,2116,87.08,188,7.72,24,0.99,0,0,8,0.33,94,3.87,110,4.51,150,13.48,185,16.7,1765,72.62,483,19.88,376,15.49,206,8.49,1507,62.02,150,6.19,23,0.95,0,0,7,0.31,76,3.15,94,3.86,98,8.86,134,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,503,315,2116,188,24,0,8,94,110,150,178,Medium Population
34,36001013503,Albany,1,4277,1815,0,15,0.35,0,0,0,0,0,0,6,99167,1,1,1,1,1,0,0,0,3631,4236,3631,637,731,637,4236,99.05,731,17.09,945,22.09,401,9.39,3477,81.29,196,4.57,441,10.32,0,0,3,0.07,120,2.8,95,2.23,61,3.37,127,7,3631,84.89,637,14.9,800,18.7,333,7.79,2995,70.02,166,3.87,375,8.77,0,0,3,0.07,92,2.15,70,1.63,59,3.25,112,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,953,405,3516,196,442,0,3,120,96,66,151,Large Population
35,36001013505,Albany,1,2712,1026,0,191,7.04,0,0,0,0,0,0,7.5,92169,0,1,0,1,0,0,0,0,279,1328,279,58,277,58,1328,48.97,277,10.23,218,8.05,390,14.38,1240,45.73,20,0.74,46,1.68,0,0,1,0.03,22,0.8,26,0.97,10,0.97,8,0.81,279,10.29,58,2.13,42,1.55,105,3.88,259,9.54,5,0.2,12,0.44,0,0,0,0,3,0.12,4,0.15,2,0.17,2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,521,612,2492,32,140,0,4,44,50,49,17,Medium Population
36,36001013506,Albany,1,6361,2706,0,91,1.43,0,0,0,0,0,0,4.8,86058,1,1,1,1,1,0,0,0,2363,5708,2363,332,830,332,5708,89.74,830,13.04,1208,19,851,13.37,4781,75.17,284,4.46,459,7.22,0,0,19,0.3,165,2.59,175,2.75,85,3.15,104,3.85,2363,37.14,332,5.22,528,8.31,343,5.39,2028,31.89,77,1.2,205,3.22,0,0,0,0,53,0.83,43,0.68,18,0.68,41,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,1322,949,5329,305,509,0,24,194,204,114,120,Large Population
37,36001013507,Albany,1,2594,1055,0,0,0,0,0,0,0,0,0,10.1,85711,0,1,0,1,0,0,0,0,151,1002,151,12,161,12,1002,38.61,161,6.19,236,9.09,128,4.92,835,32.19,52,2,80,3.08,0,0,1,0.04,34,1.3,27,1.02,4,0.4,30,2.81,151,5.83,12,0.46,30,1.15,25,0.96,137,5.29,9,0.34,2,0.1,0,0,0,0.01,3,0.1,2,0.09,0,0,5,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,558,293,1978,151,346,0,6,113,100,20,75,Medium Population
38,36001013508,Albany,1,6547,2519,0,5,0.08,0,0,0,0,0,0,5.7,113173,1,1,1,1,1,0,0,0,3726,5935,3726,522,1003,522,5935,90.65,1003,15.32,1510,23.06,812,12.4,5061,77.3,216,3.3,486,7.42,3,0.05,2,0.03,168,2.56,152,2.32,75,2.99,110,4.38,3726,56.9,522,7.98,978,14.94,488,7.45,3252,49.67,80,1.22,300,4.58,3,0.05,1,0.02,90,1.38,75,1.14,43,1.7,67,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,1640,907,5608,243,508,3,2,183,162,97,123,Large Population
39,36001013601,Albany,1,9372,3101,0,2477,26.43,0,0,0,0,1,0,5.8,96653,1,1,1,1,1,0,0,1,5809,8489,5809,833,1224,833,8489,90.58,1224,13.06,1182,12.62,1095,11.69,7318,78.09,337,3.59,576,6.15,0,0,3,0.03,255,2.72,283,3.02,382,12.32,233,7.51,5809,61.98,833,8.88,871,9.29,877,9.35,4999,53.34,218,2.32,407,4.34,0,0,2,0.02,183,1.95,193,2.06,258,8.32,166,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997,1365,1235,8118,347,623,0,3,281,310,523,282,Large Population
40,36001013602,Albany,1,4409,2162,0,71,1.61,0,0,0,0,1,0,14.3,84536,1,1,1,1,1,0,0,1,4409,4409,4409,1394,1394,1394,4409,100,1394,31.62,772,17.51,706,16.01,3115,70.65,567,12.86,553,12.54,3,0.07,11,0.25,160,3.63,174,3.95,242,11.19,124,5.76,4409,100,1394,31.62,772,17.51,706,16.01,3115,70.65,567,12.86,553,12.54,3,0.07,11,0.25,160,3.63,174,3.95,242,11.19,124,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,772,706,3115,567,553,3,11,160,174,229,113,Large Population
